Strategy Category,Strategy ID,Strategy Name,Modeled in BAUS?,BAUS modeling approach (brief description),BAUS implementation name (in run_setup.yaml),Main Function,Main entry point,Comment
Transportation,T11,Expand and Modernize the Regional Rail Network,no,,,,,
Transportation,T12,Build an Integrated Regional Express Lanes and Express Bus Network,no,,,,,
Environment,EN1,Adapt to Sea Level Rise,yes,"sea level rise and sea level rise mitigation. if sea level rise is activated, there is either no project or scenario-based mitigation",run_slr,,,
Environment,EN2,Provide Means-Based Financial Support to Retrofit Existing Regional Buildings,no,,,,,
Environment,EN3,Fund Energy Upgrades to Enable Carbon-Neutrality in All Existing Commercial and Public Buildings,no,,,,,
Environment,EN4,Maintain Urban Growth Boundaries,yes,"Zoning changes to DUA, FAR, and allowed uses",Always implemented since No Project runs have a UGB implemented through the zoning modifications file,,,
Environment,EN5,Protect and Manage High-Value Conservation Lands,no,,,,,
Environment,EN6,"Modernize and Expand Parks, Trails and Recreation Facilities",no,,,,,
Environment,EN7,Expand Commute Trip Reduction Programs at Major Employers,yes,Adjusts sqft per job by superdistrict,run_telecommute_strategy,,,
Environment,EN8,Expand Clean Vehicle Initiatives,no,,,,,
Environment,EN9,Expand Transportation Demand Management Initiatives,no,,,,,
Permanently activated,Permanently activated,SB-743,yes,Adjusts profits based on TAZ-level VMT category,run_sb_743_strategy,,,
Could be permanently activated,Could be permanently activated,ADUs,yes,Adds units based on targets,run_adu_strategy,,,
non-PBA50+,non-PBA50+,OBAG,yes,lump sum account strategy,run_obag_strategy,,,
non-PBA50+,non-PBA50+,Capital Gains,yes,lump sum account strategy,run_capital_gains_tax_strategy,,,
non-PBA50+,non-PBA50+,Parcel Tax,yes,lump sum account strategy,run_parcel_tax_strategy,,,
non-PBA50+,non-PBA50+,Jobs-Housing Fees,yes,lump sum account strategy,run_jobs_housing_fee_strategy,,,
non-PBA50+,non-PBA50+,CEQA streamlining,yes,profitability adjustment strategy,run_ceqa_streamlining_strategy,,,
non-PBA50+,non-PBA50+,Reduce Parking Requirements,yes,profitability adjustment strategy,run_reduce_parking_requirements_strategy,,,
non-PBA50+,non-PBA50+,Reduce Housing Costs,yes,profitability adjustment strategy,"run_reduce_housing_costs_tier1_strategy, tier2, tier3",,,
non-PBA50+,non-PBA50+,Land Value Tax,yes,profitability adjustment strategy,run_land_value_tax_strategy,,,
non-PBA50+,non-PBA50+,Earthquake,yes,earthquake and earthquake mitigation,"run_eq, run_eq_mitigation",,,
,,,,,,,,
